index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
333;Medicazione semplice;Medicazioni AAII;031T;medicazioni aaii
334;Medicazione semplice;Medicazione arti inferiori;031T;medicazione arti inferiori
335;Medicazioni Avanzate;Medicazioni ulcere aaii;031T;medicazioni ulcere aaii
336;Medicazioni Avanzate;Medicazioni semplici lesioni da decubito;031T;medicazioni semplici lesioni da decubito
337;Medicazioni Avanzate;Medicazione ulcere;031T;medicazione ulcere
338;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
339;Monitoraggi e Misurazioni;Misurazione parametri vitali;004T;misurazione parametri vitali
340;Medicazione semplice;Arti inferiori;031T;arti inferiori
341;Medicazione semplice;Ferite chirurgiche;031T;ferite chirurgiche
343;Medicazione semplice;Medicazione;031T;medicazione
344;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
345;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
346;procedure clinico assistenziali;Catetare vescicale;065T;catetare vescicale
347;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
348;Medicazione semplice;Medicazione chirurgica;031T;medicazione chirurgica
349;Medicazioni Avanzate;Medicazioni semplici e complesse;032T;medicazioni semplici e complesse
350;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
351;Medicazioni Avanzate;Medicazioni LDD;031T;medicazioni ldd
352;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
353;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
354;Medicazioni Avanzate;Medicazione lesioni;031T;medicazione lesioni
355;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
356;Medicazioni Avanzate;Lesioni piede diabetico;031T;lesioni piede diabetico
357;Medicazioni Avanzate;Lesione piede diabetico;031T;lesione piede diabetico
358;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
360;Medicazioni Avanzate;Medicazioni lesioni da decubito;031T;medicazioni lesioni da decubito
362;Medicazioni Avanzate;Medicazione lesioni;031T;medicazione lesioni
363;Medicazione semplice;Medicazione;031T;medicazione
364;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi liquidi biologici;033T;prelievi liquidi biologici
365;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
366;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
368;Monitoraggi e Misurazioni;Controllo parametri vitali;004T;controllo parametri vitali
369;procedure clinico assistenziali;Bendaggio anaelastico;023T;bendaggio anaelastico
371;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
372;Medicazione semplice;Medicazione semplice;031T;medicazione semplice
373;Medicazioni Avanzate;Gestione lesioni;031T;gestione lesioni
374;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
375;Medicazioni Avanzate;Medicazione;031T;medicazione
376;Medicazioni Avanzate;Medicazione;031T;medicazione
377;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
378;Medicazioni Avanzate;Ldd;031T;ldd
380;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
382;Medicazioni Avanzate;Medicazioni;031T;medicazioni
383;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
384;procedure clinico assistenziali;Cateterismi;065T;cateterismi
385;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
386;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
387;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
388;Medicazioni Avanzate;Medicazione di piede diabetico;031T;medicazione di piede diabetico
390;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
392;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
394;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
395;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
396;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
397;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
398;procedure clinico assistenziali;Prelievi occasionali;033T;prelievi occasionali
399;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
401;Medicazioni Avanzate;Medicazioni;031T;medicazioni
402;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
403;Medicazioni Avanzate;Medicazione;031T;medicazione
405;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
406;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
407;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
408;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
410;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione pompe antalgiche;033T;gestione pompe antalgiche
411;Medicazioni Avanzate;Medicazioni;031T;medicazioni
413;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
414;Medicazioni Avanzate;Medicazioni vascolari;032T;medicazioni vascolari
416;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
417;Medicazioni Avanzate;Medicazioni;031T;medicazioni
418;Medicazioni Avanzate;Piede diabetico;031T;piede diabetico
420;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
421;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
422;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
423;Medicazioni Avanzate;Medicazioni;031T;medicazioni
424;Medicazioni Avanzate;Medicazioni;031T;medicazioni
425;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
426;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
427;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
430;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
432;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
433;Medicazioni Avanzate;Medicazioni;033T;medicazioni
434;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
435;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
436;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
437;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
438;Medicazioni Avanzate;Medicazione;031T;medicazione
439;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
440;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
441;Medicazioni Avanzate;Medicazione;031T;medicazione
442;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
443;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
444;procedure clinico assistenziali;Gestione cv;065T;gestione cv
446;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
447;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
448;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
452;Medicazioni Avanzate;Medicazioni;031T;medicazioni
453;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
454;Medicazioni Avanzate;Medicazioni;031T;medicazioni
455;Medicazioni Avanzate;Medicazioni;031T;medicazioni
458;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
459;Medicazioni Avanzate;Medicazione lesioni;031T;medicazione lesioni
460;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
462;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
465;Medicazioni Avanzate;Medicazioni;031T;medicazioni
466;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
467;Medicazioni Avanzate;Medicazione;031T;medicazione
468;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
471;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
472;Medicazioni Avanzate;Medicazione;031T;medicazione
473;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
474;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
475;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Preliminare ematici;033T;preliminare ematici
476;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
477;Medicazioni Avanzate;Medicazioni ulcere da pressione;031T;medicazioni ulcere da pressione
478;Monitoraggi e Misurazioni;rilevazione parametri vitali;004T;rilevazione parametri vitali
479;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
480;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
481;Educazione Sanitaria;Educazione;122R;educazione
482;Medicazioni Avanzate;medicazioni;031T;medicazioni
483;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
484;Monitoraggi e Misurazioni;parametri vitali;004T;parametri vitali
485;Medicazioni Avanzate;medicazione complessa;032T;medicazione complessa
486;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
487;Medicazioni Avanzate;medicazioni lesioni da decubuto;031T;medicazioni lesioni da decubuto
488;Medicazioni Avanzate;medicazioni lesioni da decubito;031T;medicazioni lesioni da decubito
490;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
491;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
492;Medicazioni Avanzate;Medicazioni;031T;medicazioni
493;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
494;Medicazioni Avanzate;Medicazione lesioni difficili;032T;medicazione lesioni difficili
495;Medicazione semplice;Medicazione;031T;medicazione
497;Medicazioni Avanzate;Medicazioni;031T;medicazioni
499;Medicazioni Avanzate;Medicazioni;032T;medicazioni
500;Educazione Sanitaria;Educazione alla prevenzione;122R;educazione alla prevenzione
501;Educazione Sanitaria;Educazione prevenzione;122R;educazione prevenzione
502;Medicazioni Avanzate;Medicazioni;031T;medicazioni
504;Medicazioni Avanzate;Medicazioni;031T;medicazioni
506;Medicazioni Avanzate;Medicazioni;031T;medicazioni
507;Medicazioni Avanzate;Medicazioni;031T;medicazioni
508;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
509;Medicazioni Avanzate;Medicazione lesioni vascolari;031T;medicazione lesioni vascolari
512;Medicazione semplice;Medicazione;031T;medicazione
513;Medicazioni Avanzate;Lesioni da pressione;031T;lesioni da pressione
514;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
515;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033T;esami ematici
516;Medicazioni Avanzate;Medicazioni lesioni cutanee;031T;medicazioni lesioni cutanee
518;Medicazioni Avanzate;Medicazione lesioni;031T;medicazione lesioni
519;procedure clinico assistenziali;Bendaggi;023T;bendaggi
520;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
521;Medicazione semplice;Medicazione;031T;medicazione
523;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
524;Medicazioni Avanzate;Medicazioni Ldp;031T;medicazioni ldp
525;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
526;Medicazioni Avanzate;Medicazione lesione;031T;medicazione lesione
527;Educazione Sanitaria;Colloquio famigliari;122R;colloquio famigliari
528;Medicazione semplice;Medicazione;031T;medicazione
529;Medicazioni Avanzate;Medicazioni lesioni;031T;medicazioni lesioni
530;procedure clinico assistenziali;Sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
531;Medicazioni Avanzate;Medicazioni;031T;medicazioni
533;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
534;procedure clinico assistenziali;Bendaggi;023T;bendaggi
535;Medicazione semplice;Medicazione;031T;medicazione
536;Medicazioni Avanzate;Medicazione lesioni cutanee;031T;medicazione lesioni cutanee
537;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
539;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
540;procedure clinico assistenziali;Cambio cv;065T;cambio cv
541;Medicazioni Avanzate;Medicazioni lesioni;031T;medicazioni lesioni
543;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
544;Educazione Sanitaria;Colloquio col paziente;122R;colloquio col paziente
546;procedure clinico assistenziali;Cambio catetere;065T;cambio catetere
547;Medicazioni Avanzate;Medicazioni;031T;medicazioni
550;procedure clinico assistenziali;Gestione  Cv;065T;gestione  cv
551;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
552;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
553;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
555;Medicazioni Avanzate;Medicazioni;031T;medicazioni
556;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
557;Medicazioni Avanzate;Medicazioni lesioni di vario tipo;032T;medicazioni lesioni di vario tipo
559;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
561;Educazione Sanitaria;Colloquio con familiari;122R;colloquio con familiari
563;Medicazioni Avanzate;Medicazioni;031T;medicazioni
564;Medicazioni Avanzate;Medicazioni;031T;medicazioni
565;Medicazioni Avanzate;Medicazione avanzate ldp;032T;medicazione avanzate ldp
567;Medicazioni Avanzate;Medicazioni;031T;medicazioni
568;Medicazioni Avanzate;Medicazioni;031T;medicazioni
570;Medicazioni Avanzate;Medicazioni;031T;medicazioni
571;Medicazioni Avanzate;Medicazioni;031T;medicazioni
572;Medicazioni Avanzate;Medicazioni lesioni;031T;medicazioni lesioni
575;Educazione Sanitaria;Colloquio pz;122R;colloquio pz
576;Medicazioni Avanzate;Medicazioni lesioni da decubito;031T;medicazioni lesioni da decubito
578;Medicazioni Avanzate;Medicazioni  semplici e complesse;032T;medicazioni  semplici e complesse
579;Medicazioni Avanzate;Medicazione;031T;medicazione
580;Medicazioni Avanzate;Medicazione ldd;031T;medicazione ldd
582;Medicazioni Avanzate;Medicazioni;031T;medicazioni
583;Medicazioni Avanzate;Medicazioni;031T;medicazioni
584;procedure clinico assistenziali;Cambio CV;065T;cambio cv
586;Medicazioni Avanzate;Medicazioni;031T;medicazioni
587;procedure clinico assistenziali;Cateterismi;065T;cateterismi
588;PAI, pianificazione, valutazione;Valutazione dei sintomi;002T;valutazione dei sintomi
589;procedure clinico assistenziali;Relazione con il paziente e famiglia;122R;relazione con il paziente e famiglia
590;procedure clinico assistenziali;Reperimento accesso venoso;020T;reperimento accesso venoso
591;PAI, pianificazione, valutazione;Valutazione sintomi;002T;valutazione sintomi
592;PAI, pianificazione, valutazione;Valutazione sintomi;002T;valutazione sintomi
593;procedure clinico assistenziali;Sostituzioni Cateteri vescicali;065T;sostituzioni cateteri vescicali
594;Medicazioni Avanzate;Medicazioni;031T;medicazioni
595;procedure clinico assistenziali;Gestione cv;065T;gestione cv
597;procedure clinico assistenziali;Cambio catetere;065T;cambio catetere
598;Medicazioni Avanzate;Medicazioni;031T;medicazioni
599;Medicazioni Avanzate;Medicazione di lesione cutanee;031T;medicazione di lesione cutanee
600;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia Ev;016T;terapia ev
602;Medicazione semplice;Medicazioni di ogni genere;031T;medicazioni di ogni genere
603;Medicazioni Avanzate;Medicazioni;031T;medicazioni
604;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
605;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
606;Educazione Sanitaria;Colloquio;169R;colloquio
607;Medicazione semplice;Medicazioni;031T;medicazioni
608;Medicazioni Avanzate;Medicazioni;031T;medicazioni
609;Medicazioni Avanzate;Medicazioni ldp;031T;medicazioni ldp
612;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
614;Medicazioni Avanzate;Medicazioni lesioni di ogni tipo;031T;medicazioni lesioni di ogni tipo
615;Medicazioni Avanzate;Medicazioni;031T;medicazioni
616;Medicazioni Avanzate;Medicazione;031T;medicazione
617;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
618;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
619;Medicazioni Avanzate;Medicazioni;031T;medicazioni
620;procedure clinico assistenziali;Catetere;065T;catetere
621;Medicazioni Avanzate;Medicazioni lesioni da pressione;031T;medicazioni lesioni da pressione
622;Medicazioni Avanzate;Medicazioni di lesioni cutanee;031T;medicazioni di lesioni cutanee
624;Educazione Sanitaria;Colloquio con il pz;169R;colloquio con il pz
625;Monitoraggi e Misurazioni;Rilievo parametri vitali;004T;rilievo parametri vitali
626;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
627;Medicazioni Avanzate;Medicazioni;031T;medicazioni
628;Medicazione semplice;Medicazioni di vario genere;031T;medicazioni di vario genere
630;Medicazioni Avanzate;Medicazione;031T;medicazione
631;Medicazioni Avanzate;Medicazione;031T;medicazione
634;Medicazioni Avanzate;Medicazioni;031T;medicazioni
635;Medicazioni Avanzate;Medicazioni;031T;medicazioni
636;Medicazione semplice;Medicazioni ed educazione;031T;medicazioni ed educazione
638;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
643;Monitoraggi e Misurazioni;Rilievo sintomi;004T;rilievo sintomi
645;Medicazioni Avanzate;Medicazione lesioni da decubito, lesioni vascolari, ferite chirurgiche;031T;medicazione lesioni da decubito lesioni vascolari ferite chirurgiche
646;procedure clinico assistenziali;Cambio cv;065T;cambio cv
650;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento cvp;020T;posizionamento cvp
651;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico venoso;033T;prelievo ematico venoso
652;Medicazioni Avanzate;Medicazioni;031T;medicazioni
657;Medicazioni Avanzate;Medicazioni;031T;medicazioni
660;Medicazioni Avanzate;Medicazioni lesioni cutanee;031T;medicazioni lesioni cutanee
666;Medicazioni Avanzate;Medicazione lesioni da decubito e/o ferite chirurgiche;031T;medicazione lesioni da decubito eo ferite chirurgiche
