index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
333	Medicazione semplice	Medicazioni AAII	medicazioni aaii	031T
334	Medicazione semplice	Medicazione arti inferiori	medicazione arti inferiori	031T
335	Medicazioni Avanzate	Medicazioni ulcere aaii	medicazioni ulcere aaii	031T
336	Medicazioni Avanzate	Medicazioni semplici lesioni da decubito	medicazioni semplici lesioni da decubito	031T
337	Medicazioni Avanzate	Medicazione ulcere	medicazione ulcere	031T
338	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
339	Monitoraggi e Misurazioni	Misurazione parametri vitali	misurazione parametri vitali	004T
340	Medicazione semplice	Arti inferiori	arti inferiori	031T
341	Medicazione semplice	Ferite chirurgiche	ferite chirurgiche	031T
343	Medicazione semplice	Medicazione	medicazione	031T
344	procedure clinico assistenziali	Catetere vescicale	catetere vescicale	065T
345	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
346	procedure clinico assistenziali	Catetare vescicale	catetare vescicale	065T
347	procedure clinico assistenziali	Cateteri vescicali	cateteri vescicali	065T
348	Medicazione semplice	Medicazione chirurgica	medicazione chirurgica	031T
349	Medicazioni Avanzate	Medicazioni semplici e complesse	medicazioni semplici e complesse	032T
350	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
351	Medicazioni Avanzate	Medicazioni LDD	medicazioni ldd	031T
352	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
353	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
354	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
355	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
356	Medicazioni Avanzate	Lesioni piede diabetico	lesioni piede diabetico	031T
357	Medicazioni Avanzate	Lesione piede diabetico	lesione piede diabetico	031T
358	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
360	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	031T
362	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
363	Medicazione semplice	Medicazione	medicazione	031T
364	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi liquidi biologici	prelievi liquidi biologici	033T
365	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
366	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
368	Monitoraggi e Misurazioni	Controllo parametri vitali	controllo parametri vitali	004T
369	procedure clinico assistenziali	Bendaggio anaelastico	bendaggio anaelastico	023T
371	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
372	Medicazione semplice	Medicazione semplice	medicazione semplice	031T
373	Medicazioni Avanzate	Gestione lesioni	gestione lesioni	031T
374	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
375	Medicazioni Avanzate	Medicazione	medicazione	031T
376	Medicazioni Avanzate	Medicazione	medicazione	031T
377	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
378	Medicazioni Avanzate	Ldd	ldd	031T
380	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
382	Medicazioni Avanzate	Medicazioni	medicazioni	031T
383	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
384	procedure clinico assistenziali	Cateterismi	cateterismi	065T
385	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	004T
386	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
387	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
388	Medicazioni Avanzate	Medicazione di piede diabetico	medicazione di piede diabetico	031T
390	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
392	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
394	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
395	procedure clinico assistenziali	Sostituzione catetere vescicale	sostituzione catetere vescicale	065T
396	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
397	procedure clinico assistenziali	Catetere vescicale	catetere vescicale	065T
398	procedure clinico assistenziali	Prelievi occasionali	prelievi occasionali	033T
399	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
401	Medicazioni Avanzate	Medicazioni	medicazioni	031T
402	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
403	Medicazioni Avanzate	Medicazione	medicazione	031T
405	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
406	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
407	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
408	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
410	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione pompe antalgiche	gestione pompe antalgiche	033T
411	Medicazioni Avanzate	Medicazioni	medicazioni	031T
413	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
414	Medicazioni Avanzate	Medicazioni vascolari	medicazioni vascolari	032T
416	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
417	Medicazioni Avanzate	Medicazioni	medicazioni	031T
418	Medicazioni Avanzate	Piede diabetico	piede diabetico	031T
420	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
421	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
422	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
423	Medicazioni Avanzate	Medicazioni	medicazioni	031T
424	Medicazioni Avanzate	Medicazioni	medicazioni	031T
425	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
426	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
427	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
430	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
432	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
433	Medicazioni Avanzate	Medicazioni	medicazioni	033T
434	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
435	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
436	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
437	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
438	Medicazioni Avanzate	Medicazione	medicazione	031T
439	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
440	Medicazione semplice	Medicazioni semplici	medicazioni semplici	031T
441	Medicazioni Avanzate	Medicazione	medicazione	031T
442	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
443	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
444	procedure clinico assistenziali	Gestione cv	gestione cv	065T
446	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
447	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
448	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
452	Medicazioni Avanzate	Medicazioni	medicazioni	031T
453	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
454	Medicazioni Avanzate	Medicazioni	medicazioni	031T
455	Medicazioni Avanzate	Medicazioni	medicazioni	031T
458	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
459	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
460	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
462	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
465	Medicazioni Avanzate	Medicazioni	medicazioni	031T
466	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
467	Medicazioni Avanzate	Medicazione	medicazione	031T
468	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
471	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
472	Medicazioni Avanzate	Medicazione	medicazione	031T
473	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
474	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
475	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Preliminare ematici	preliminare ematici	033T
476	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
477	Medicazioni Avanzate	Medicazioni ulcere da pressione	medicazioni ulcere da pressione	031T
478	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	004T
479	Educazione Sanitaria	Supporto psicologico	supporto psicologico	169R
480	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
481	Educazione Sanitaria	Educazione	educazione	122R
482	Medicazioni Avanzate	medicazioni	medicazioni	031T
483	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
484	Monitoraggi e Misurazioni	parametri vitali	parametri vitali	004T
485	Medicazioni Avanzate	medicazione complessa	medicazione complessa	032T
486	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	032T
487	Medicazioni Avanzate	medicazioni lesioni da decubuto	medicazioni lesioni da decubuto	031T
488	Medicazioni Avanzate	medicazioni lesioni da decubito	medicazioni lesioni da decubito	031T
490	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
491	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
492	Medicazioni Avanzate	Medicazioni	medicazioni	031T
493	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia ev	terapia ev	016T
494	Medicazioni Avanzate	Medicazione lesioni difficili	medicazione lesioni difficili	032T
495	Medicazione semplice	Medicazione	medicazione	031T
497	Medicazioni Avanzate	Medicazioni	medicazioni	031T
499	Medicazioni Avanzate	Medicazioni	medicazioni	032T
500	Educazione Sanitaria	Educazione alla prevenzione	educazione alla prevenzione	122R
501	Educazione Sanitaria	Educazione prevenzione	educazione prevenzione	122R
502	Medicazioni Avanzate	Medicazioni	medicazioni	031T
504	Medicazioni Avanzate	Medicazioni	medicazioni	031T
506	Medicazioni Avanzate	Medicazioni	medicazioni	031T
507	Medicazioni Avanzate	Medicazioni	medicazioni	031T
508	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia ev	terapia ev	016T
509	Medicazioni Avanzate	Medicazione lesioni vascolari	medicazione lesioni vascolari	031T
512	Medicazione semplice	Medicazione	medicazione	031T
513	Medicazioni Avanzate	Lesioni da pressione	lesioni da pressione	031T
514	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
515	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esami ematici	esami ematici	033T
516	Medicazioni Avanzate	Medicazioni lesioni cutanee	medicazioni lesioni cutanee	031T
518	Medicazioni Avanzate	Medicazione lesioni	medicazione lesioni	031T
519	procedure clinico assistenziali	Bendaggi	bendaggi	023T
520	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
521	Medicazione semplice	Medicazione	medicazione	031T
523	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
524	Medicazioni Avanzate	Medicazioni Ldp	medicazioni ldp	031T
525	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
526	Medicazioni Avanzate	Medicazione lesione	medicazione lesione	031T
527	Educazione Sanitaria	Colloquio famigliari	colloquio famigliari	122R
528	Medicazione semplice	Medicazione	medicazione	031T
529	Medicazioni Avanzate	Medicazioni lesioni	medicazioni lesioni	031T
530	procedure clinico assistenziali	Sostituzione cateteri vescicali	sostituzione cateteri vescicali	065T
531	Medicazioni Avanzate	Medicazioni	medicazioni	031T
533	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia infusiva	terapia infusiva	016T
534	procedure clinico assistenziali	Bendaggi	bendaggi	023T
535	Medicazione semplice	Medicazione	medicazione	031T
536	Medicazioni Avanzate	Medicazione lesioni cutanee	medicazione lesioni cutanee	031T
537	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
539	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
540	procedure clinico assistenziali	Cambio cv	cambio cv	065T
541	Medicazioni Avanzate	Medicazioni lesioni	medicazioni lesioni	031T
543	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
544	Educazione Sanitaria	Colloquio col paziente	colloquio col paziente	122R
546	procedure clinico assistenziali	Cambio catetere	cambio catetere	065T
547	Medicazioni Avanzate	Medicazioni	medicazioni	031T
550	procedure clinico assistenziali	Gestione  Cv	gestione  cv	065T
551	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
552	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
553	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
555	Medicazioni Avanzate	Medicazioni	medicazioni	031T
556	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
557	Medicazioni Avanzate	Medicazioni lesioni di vario tipo	medicazioni lesioni di vario tipo	032T
559	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
561	Educazione Sanitaria	Colloquio con familiari	colloquio con familiari	122R
563	Medicazioni Avanzate	Medicazioni	medicazioni	031T
564	Medicazioni Avanzate	Medicazioni	medicazioni	031T
565	Medicazioni Avanzate	Medicazione avanzate ldp	medicazione avanzate ldp	032T
567	Medicazioni Avanzate	Medicazioni	medicazioni	031T
568	Medicazioni Avanzate	Medicazioni	medicazioni	031T
570	Medicazioni Avanzate	Medicazioni	medicazioni	031T
571	Medicazioni Avanzate	Medicazioni	medicazioni	031T
572	Medicazioni Avanzate	Medicazioni lesioni	medicazioni lesioni	031T
575	Educazione Sanitaria	Colloquio pz	colloquio pz	122R
576	Medicazioni Avanzate	Medicazioni lesioni da decubito	medicazioni lesioni da decubito	031T
578	Medicazioni Avanzate	Medicazioni  semplici e complesse	medicazioni  semplici e complesse	032T
579	Medicazioni Avanzate	Medicazione	medicazione	031T
580	Medicazioni Avanzate	Medicazione ldd	medicazione ldd	031T
582	Medicazioni Avanzate	Medicazioni	medicazioni	031T
583	Medicazioni Avanzate	Medicazioni	medicazioni	031T
584	procedure clinico assistenziali	Cambio CV	cambio cv	065T
586	Medicazioni Avanzate	Medicazioni	medicazioni	031T
587	procedure clinico assistenziali	Cateterismi	cateterismi	065T
588	PAI, pianificazione, valutazione	Valutazione dei sintomi	valutazione dei sintomi	002T
589	procedure clinico assistenziali	Relazione con il paziente e famiglia	relazione con il paziente e famiglia	122R
590	procedure clinico assistenziali	Reperimento accesso venoso	reperimento accesso venoso	020T
591	PAI, pianificazione, valutazione	Valutazione sintomi	valutazione sintomi	002T
592	PAI, pianificazione, valutazione	Valutazione sintomi	valutazione sintomi	002T
593	procedure clinico assistenziali	Sostituzioni Cateteri vescicali	sostituzioni cateteri vescicali	065T
594	Medicazioni Avanzate	Medicazioni	medicazioni	031T
595	procedure clinico assistenziali	Gestione cv	gestione cv	065T
597	procedure clinico assistenziali	Cambio catetere	cambio catetere	065T
598	Medicazioni Avanzate	Medicazioni	medicazioni	031T
599	Medicazioni Avanzate	Medicazione di lesione cutanee	medicazione di lesione cutanee	031T
600	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia Ev	terapia ev	016T
602	Medicazione semplice	Medicazioni di ogni genere	medicazioni di ogni genere	031T
603	Medicazioni Avanzate	Medicazioni	medicazioni	031T
604	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
605	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
606	Educazione Sanitaria	Colloquio	colloquio	169R
607	Medicazione semplice	Medicazioni	medicazioni	031T
608	Medicazioni Avanzate	Medicazioni	medicazioni	031T
609	Medicazioni Avanzate	Medicazioni ldp	medicazioni ldp	031T
612	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
614	Medicazioni Avanzate	Medicazioni lesioni di ogni tipo	medicazioni lesioni di ogni tipo	031T
615	Medicazioni Avanzate	Medicazioni	medicazioni	031T
616	Medicazioni Avanzate	Medicazione	medicazione	031T
617	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	065T
618	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
619	Medicazioni Avanzate	Medicazioni	medicazioni	031T
620	procedure clinico assistenziali	Catetere	catetere	065T
621	Medicazioni Avanzate	Medicazioni lesioni da pressione	medicazioni lesioni da pressione	031T
622	Medicazioni Avanzate	Medicazioni di lesioni cutanee	medicazioni di lesioni cutanee	031T
624	Educazione Sanitaria	Colloquio con il pz	colloquio con il pz	169R
625	Monitoraggi e Misurazioni	Rilievo parametri vitali	rilievo parametri vitali	004T
626	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
627	Medicazioni Avanzate	Medicazioni	medicazioni	031T
628	Medicazione semplice	Medicazioni di vario genere	medicazioni di vario genere	031T
630	Medicazioni Avanzate	Medicazione	medicazione	031T
631	Medicazioni Avanzate	Medicazione	medicazione	031T
634	Medicazioni Avanzate	Medicazioni	medicazioni	031T
635	Medicazioni Avanzate	Medicazioni	medicazioni	031T
636	Medicazione semplice	Medicazioni ed educazione	medicazioni ed educazione	031T
638	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
643	Monitoraggi e Misurazioni	Rilievo sintomi	rilievo sintomi	004T
645	Medicazioni Avanzate	Medicazione lesioni da decubito, lesioni vascolari, ferite chirurgiche	medicazione lesioni da decubito lesioni vascolari ferite chirurgiche	031T
646	procedure clinico assistenziali	Cambio cv	cambio cv	065T
650	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Posizionamento cvp	posizionamento cvp	020T
651	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico venoso	prelievo ematico venoso	033T
652	Medicazioni Avanzate	Medicazioni	medicazioni	031T
657	Medicazioni Avanzate	Medicazioni	medicazioni	031T
660	Medicazioni Avanzate	Medicazioni lesioni cutanee	medicazioni lesioni cutanee	031T
666	Medicazioni Avanzate	Medicazione lesioni da decubito e/o ferite chirurgiche	medicazione lesioni da decubito eo ferite chirurgiche	031T
