Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Ispezione cutanea;;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033t;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
procedure clinico assistenziali;Prelievi occasionali;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Cure Palliative;Valutazione terapia del dolore;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazione;031t;;;
PAI, pianificazione, valutazione;UVM;;;;
Medicazioni Avanzate;Medicazioni ldp;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
PAI, pianificazione, valutazione;Valutazione preparazione  somministrazione terapia del dolore;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione pompe antalgiche;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Educazione Sanitaria;Educazione del pz e caregiver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Medicazioni Avanzate;Medicazioni vascolari;032t;;;
procedure clinico assistenziali;Gestione farmaci per controllo dei sintomi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Piede diabetico;031t;;;
PAI, pianificazione, valutazione;Valutazione generale condizioni cliniche\assistenziali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;Dialogo;;;;
PAI, pianificazione, valutazione;Visite integrate con medici e palliativisti;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Ripristino pompe elastomeriche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazioni;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Medicazioni Avanzate;Medicazione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazione semplice;Medicazioni semplici;031t;;;
Medicazioni Avanzate;Medicazione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;Gestione cv;065t;;;
procedure clinico assistenziali;Clisteri evacuanti;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
PAI, pianificazione, valutazione;Prima visita di presa in carico;;;;
Educazione Sanitaria;Educazione telefoniche;;;;
Cure Palliative;Applicazione infusor con terapia palliativa  ;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Gestione device semplici (  es: CV) e complessi (tracheostomie, drenaggi, digiunostomie..);;;;
procedure clinico assistenziali;Gestione di sintomi e preparazione di elastomero;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazione lesioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
PAI, pianificazione, valutazione;Dimissioni protette da ospedale/PUA;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
PAI, pianificazione, valutazione;Compilazione della cartella;;;;
PAI, pianificazione, valutazione;Aperture Adi;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
PAI, pianificazione, valutazione;Presa in carico paziente, care-giver, setting familiare;;;;
PAI, pianificazione, valutazione;Presa in carico dell’utente e della famiglia;;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Medicazioni Avanzate;Medicazione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Preliminare ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Medicazioni Avanzate;Medicazioni ulcere da pressione;031t;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;004t;;;
Educazione Sanitaria;Supporto psicologico;169r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Educazione Sanitaria;Educazione;122r;;;
Medicazioni Avanzate;medicazioni;031t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Monitoraggi e Misurazioni;parametri vitali;004t;;;
Medicazioni Avanzate;medicazione complessa;032t;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
Medicazioni Avanzate;medicazioni lesioni da decubuto;031t;;;
Medicazioni Avanzate;medicazioni lesioni da decubito;031t;;;
PAI, pianificazione, valutazione;Prima visita;;;;
Medicazioni Avanzate;Medicazioni ldp;031t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
Medicazioni Avanzate;Medicazione lesioni difficili;032t;;;
Medicazione semplice;Medicazione;031t;;;
procedure clinico assistenziali;Detersione;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
;;;;;
Medicazioni Avanzate;Medicazioni;032t;;;
Educazione Sanitaria;Educazione alla prevenzione;122r;;;
Educazione Sanitaria;Educazione prevenzione;122r;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Ldp;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
;;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
Medicazioni Avanzate;Medicazione lesioni vascolari;031t;;;
PAI, pianificazione, valutazione;Prima visita con individuazione bisogni  socio assistenziali del paziente in sinergia con medico di medicina generale;;;;
PAI, pianificazione, valutazione;Valutazione bisogno assistenziale;;;;
Medicazione semplice;Medicazione;031t;;;
Medicazioni Avanzate;Lesioni da pressione;031t;;;
Medicazioni Avanzate;Medicazioni ldp;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
Medicazioni Avanzate;Medicazioni lesioni cutanee;031t;;;
Medicazioni Avanzate;Medicazioni lesioni e compilazione documentazione osservatorio lesioni;;;;
Medicazioni Avanzate;Medicazione lesioni;031t;;;
procedure clinico assistenziali;Bendaggi;023t;;;
Medicazioni Avanzate;Medicazioni ldp;031t;;;
Medicazione semplice;Medicazione;031t;;;
PAI, pianificazione, valutazione;Relazione con pz e caregiver, presentazione servizio e reti dei servizi territoriali;;;;
Monitoraggi e Misurazioni;Rilevazione parametri vitali;004t;;;
Medicazioni Avanzate;Medicazioni Ldp;031t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Medicazioni Avanzate;Medicazione lesione;031t;;;
Educazione Sanitaria;Colloquio famigliari;122r;;;
Medicazione semplice;Medicazione;031t;;;
Medicazioni Avanzate;Medicazioni lesioni;031t;;;
procedure clinico assistenziali;Sostituzione cateteri vescicali;065t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Igiene;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
procedure clinico assistenziali;Bendaggi;023t;;;
Medicazione semplice;Medicazione;031t;;;
Medicazioni Avanzate;Medicazione lesioni cutanee;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Cambio cv;065t;;;
Medicazioni Avanzate;Medicazioni lesioni;031t;;;
Cure Palliative;Carica infusor;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Educazione Sanitaria;Colloquio col paziente;122r;;;
Cure Palliative;Terapia del dolore;;;;
procedure clinico assistenziali;Cambio catetere;065t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Monitoraggi e Misurazioni;Valutazione e controllo sintomi, folte, vomito ecc;;;;
Cure Palliative;Dolore poco vontrollato;;;;
procedure clinico assistenziali;Gestione  Cv;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Educazione Sanitaria;Colloqui;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Medicazioni Avanzate;Medicazioni lesioni di vario tipo;032t;;;
procedure clinico assistenziali;Tp ipodermica;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
procedure clinico assistenziali;Aghi intima da posizionare s.c;;;;
Educazione Sanitaria;Colloquio con familiari;122r;;;
Monitoraggi e Misurazioni;Rilevazione sintomi disturbanti;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazione avanzate ldp;032t;;;
PAI, pianificazione, valutazione;Accertamento infermieristico;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Cure Palliative;Riempimento infusor;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni lesioni;031t;;;
Educazione Sanitaria;Colloqui sul fine vita;;;;
PAI, pianificazione, valutazione;Valutazione dei sintomi;;;;
Educazione Sanitaria;Colloquio pz;122r;;;
Medicazioni Avanzate;Medicazioni lesioni da decubito;031t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;;;;
Medicazioni Avanzate;Medicazioni  semplici e complesse;032t;;;
Medicazioni Avanzate;Medicazione;031t;;;
Medicazioni Avanzate;Medicazione ldd;031t;;;
procedure clinico assistenziali;Infusor;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Cambio CV;065t;;;
Cure Palliative;Rilievi dolore;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Cateterismi;065t;;;
PAI, pianificazione, valutazione;Valutazione dei sintomi;002t;;;
procedure clinico assistenziali;Relazione con il paziente e famiglia;122r;;;
procedure clinico assistenziali;Reperimento accesso venoso;020t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;002t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;002t;;;
procedure clinico assistenziali;Sostituzioni Cateteri vescicali;065t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Gestione cv;065t;;;
Cure Palliative;Riempimento infusor;;;;
procedure clinico assistenziali;Cambio catetere;065t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazione di lesione cutanee;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia Ev;016t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;;;;
Medicazione semplice;Medicazioni di ogni genere;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033t;;;
Educazione Sanitaria;Colloquio;169r;;;
Medicazione semplice;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni ldp;031t;;;
Cure Palliative;Tp del dolore,infusor,ecc..;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
;;;;;
Medicazioni Avanzate;Medicazioni lesioni di ogni tipo;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazione;031t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Catetere;065t;;;
Medicazioni Avanzate;Medicazioni lesioni da pressione;031t;;;
Medicazioni Avanzate;Medicazioni di lesioni cutanee;031t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;;;;
Educazione Sanitaria;Colloquio con il pz;169r;;;
Monitoraggi e Misurazioni;Rilievo parametri vitali;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazione semplice;Medicazioni di vario genere;031t;;;
Educazione Sanitaria;Educazione alla famiglia/ caregiver;;;;
Medicazioni Avanzate;Medicazione;031t;;;
Medicazioni Avanzate;Medicazione;031t;;;
procedure clinico assistenziali;Terapia iniettiva;;;;
Cure Palliative;Terapia del dolore;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazione semplice;Medicazioni ed educazione;031t;;;
PAI, pianificazione, valutazione;Valutazione sintomi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
procedure clinico assistenziali;Idratazione;;;;
PAI, pianificazione, valutazione;Presa in carico del paziente;;;;
PAI, pianificazione, valutazione;Valutazione sintomi;;;;
Monitoraggi e Misurazioni;Valutazione dolore;;;;
Monitoraggi e Misurazioni;Rilievo sintomi;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Idratazione ipodermica;;;;
Medicazioni Avanzate;Medicazione lesioni da decubito, lesioni vascolari, ferite chirurgiche;031t;;;
procedure clinico assistenziali;Cambio cv;065t;;;
;;;;;
;;;;;
PAI, pianificazione, valutazione;Valutazione dei sintomi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento cvp;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico venoso;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Tp ipodermica;;;;
procedure clinico assistenziali;Terapia ipodermica;;;;
procedure clinico assistenziali;Terapia ipodermica;;;;
procedure clinico assistenziali;Perette evaquative;;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Ipodermoclisi;;;;
procedure clinico assistenziali;Ipodermoclisi;;;;
Medicazioni Avanzate;Medicazioni lesioni cutanee;031t;;;
Medicazioni Avanzate;Lesioni;;;;
procedure clinico assistenziali;Perette evacuative;;;;
procedure clinico assistenziali;Tp intramuscolare;;;;
procedure clinico assistenziali;Terapia intramuscolare;;;;
procedure clinico assistenziali;Somministrazione terapia sottocutana;;;;
Medicazioni Avanzate;Medicazione lesioni da decubito e/o ferite chirurgiche;031t;;;
Medicazioni Avanzate;Medicazioni  ldd;031t;;;
Medicazioni Avanzate;Gestione lesioni vascolari;;;;
procedure clinico assistenziali;Reidratazione;016t;;;
procedure clinico assistenziali;Cambi cv;065t;;;
procedure clinico assistenziali;TAO;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi Ematici e/o controllo INR;033t;;;
Educazione Sanitaria;Addestaremto caregivers;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni semplici ed avanzate- inclusi bendaggi contenitivi;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Medicazioni Avanzate;Medicazioni semplici e avanzate;032t;;;
Medicazione semplice;Medicazioni di vario genere;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni lesioni da pressione o da trauma;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni lesioni da pressione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Monitoraggi e Misurazioni;Misurazione parametri vitali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici venosi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Monitoraggi e Misurazioni;Monitoraggio delle condizioni generali del nucleo familiare;;;;
Medicazioni Avanzate;Medicazione;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Medicazioni Avanzate;Medicazione;031t;;;
PAI, pianificazione, valutazione;Valutazione della persona e del nucleo famigliare;;;;
Educazione Sanitaria;Educazione sanitaria;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazione lesioni;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi del sangue;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazione lesioni da decubito;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033t;;;
procedure clinico assistenziali;TAO;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
Medicazioni Avanzate;Medicazioni a LDP;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
PAI, pianificazione, valutazione;Analisi valutazione dei problemi/bisogni dell' utente  e del nucleo familiare;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
Medicazioni Avanzate;Medicazioni vascolari e da pressione medicazioni piede diabetico;031t;;;
Medicazioni Avanzate;Medicazioni;031t;;;
procedure clinico assistenziali;Prelievi capilari;033t;;;
procedure clinico assistenziali;Prelievi capillari;033t;;;
