index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
142	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
143	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
144	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
145	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
146	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
147	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
148	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
149	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
150	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
151	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
152	Medicazione semplice	Medicazioni e bendaggi	medicazioni e bendaggi	medicazione e bendaggio	023T	Bendaggio semplice
153	Medicazioni Avanzate	Medicazione ldp	medicazione ldp	medicazione lesione da pressione	031T	Medicazione semplice
154	Monitoraggi e Misurazioni	Monitoraggio/ gestione  sintomi	monitoraggio  gestione  sintomi	monitoraggio gestione sintomo	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
155	procedure clinico assistenziali	Terapia ev SC e im	terapia ev sc e im	terapia endovena sottocute e instramuscolare	016T	Somministrazione dei medicinali prescritti per via parenterale
156	Medicazioni Avanzate	Medicazione ulcere da decubito	medicazione ulcere da decubito	medicazione ulcera da decubito	032T	Medicazione complessa
157	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
158	Medicazione semplice	Medicazione	medicazione	medicazione	031T	Medicazione semplice
159	Medicazione semplice	medicazione semplice	medicazione semplice	medicazione semplice	031T	Medicazione semplice
160	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	medicazione complesso	032T	Medicazione complessa
161	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
162	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
163	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
164	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
165	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
166	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
167	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	032T	Medicazione complessa
168	PAI, pianificazione, valutazione	Gestione pazienti compelessi	gestione pazienti compelessi	gestione paziente complesso	002T	Valutazione dei livelli di dipendenza del paziente a seconda di ogn necessità e bilancio delle risorse disponibili
169	Educazione Sanitaria	Ascolto-supporto pz/fam	ascolto supporto pz fam	ascolto supporto paziente famiglia	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
170	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
171	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
172	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
173	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
174	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
175	Educazione Sanitaria	Colloquio	colloquio	colloquio	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
176	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
177	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
178	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	medicazione complesso	032T	Medicazione complessa
179	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
180	Monitoraggi e Misurazioni	Monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	monitoraggio clinico assistenziale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
181	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
182	Educazione Sanitaria	Colloquio supporto alla famiglia/caregiver	colloquio supporto alla famiglia caregiver	colloquio supporto alla famiglia caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
183	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso periferico	prelievo venoso periferico	prelievo venoso periferico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
184	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
185	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	medicazione complesso	032T	Medicazione complessa
186	Monitoraggi e Misurazioni	Monitoraggio clinico	monitoraggio clinico	monitoraggio clinico	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
187	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
188	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
189	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
190	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
191	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
192	Monitoraggi e Misurazioni	Monitoraggio parametri, clinico assistenziale e dei segni e sintomi di malattia	monitoraggio parametri  clinico assistenziale e dei segni e sintomi di malattia	monitoraggio parametri clinico assistenziale e dei segno e sintomo di malattia	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
193	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	monitoraggio parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
194	Educazione Sanitaria	Comunicazione	comunicazione	comunicazione	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
195	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico da venipuntura periferica	prelievo ematico da venipuntura periferica	prelievo ematico da venipuntura periferico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
196	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	medicazione avanzato	032T	Medicazione complessa
197	Monitoraggi e Misurazioni	Misurare i parametri	misurare i parametri	misurare i parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
198	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
199	Educazione Sanitaria	Ascolto/supporto al paziente e caregiver	ascolto supporto al paziente e caregiver	ascolto supporto al paziente e caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
200	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
